name,main_category,sub_category,image,link,ratings,no_of_ratings,price
Prestige PKGSS 1.7L Electric Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71hrYgAgdGL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PKGSS-Electric-Kettle-Stainless/dp/B00NW4UWN6/ref=sr_1_40?qid=1679135586&s=appliances&sr=1-40,3.8,16348,799
Prestige PKOSS 1.8 Litre Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/511wIb+y8BL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PKOSS-1-8-Kettle-Red/dp/B07XRVWCDD/ref=sr_1_488?qid=1679135615&s=appliances&sr=1-488,3.8,14790,825
Baltra Solid Electric Kettle 6L,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41COdVWBZnS._AC_UL320_.jpg,https://www.amazon.in/Baltra-Solid-Electric-Kettle-Silver/dp/B096V93PC8/ref=sr_1_6863?qid=1679135979&s=appliances&sr=1-6863,3.8,91,1899
pTron Tangent Evo,electronics,Headphones,https://m.media-amazon.com/images/I/51zLZReyZVL._AC_UL320_.jpg,https://www.amazon.in/Tangent-Evo-Headphones-Resistance-Assistance/dp/B097RXPRMJ/ref=sr_1_25?qid=1679128666&s=electronics&sr=1-25,3.8,76999,599
OnePlus Nord Buds CE Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/41+o3c8Qo+L._AC_UL320_.jpg,https://www.amazon.in/OnePlus-Truly-Wireless-Bluetooth-Earbuds/dp/B0BLNR4TBT/ref=sr_1_32?qid=1679128667&s=electronics&sr=1-32,3.8,546,2299
Samsung 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51dPET0mdFL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYLZABE/dp/B0BRQCYQHK/ref=sr_1_22?qid=1679134237&s=kitchen&sr=1-22,3.8,312,35499
"Nirency Bathroom Shelf for Wall, Bathroom Rack",Furniture,Racks,https://m.media-amazon.com/images/I/41uY8fDgh3L._AC_UL320_.jpg,https://www.amazon.in/Nirency-Multipurpose-Bathroom-Drilling-Self-Adhesive/dp/B09CMHC6TC/ref=sr_1_490?qid=1679212908&s=kitchen&sr=1-490,3.7,183,399
TEMPEST Running Shorts for Men,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/61Bzn789l7L._AC_UL320_.jpg,https://www.amazon.in/TEMPEST-White-Running-Sport-Shorts/dp/B09BG2MBW9/ref=sr_1_224?qid=1679217841&s=sports&sr=1-224,3.7,166,375
Nike Mens Flex Experience Rn 10 Running Shoe,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/7175Z5h5AiL._AC_UL320_.jpg,https://www.amazon.in/Nike-Experience-Running-Shoe-9-CI9960-002/dp/B08Q8RTTZV/ref=sr_1_35?qid=1679147183&s=shoes&sr=1-35,3.7,553,1899
DE LOYON Men's Leather Formal Shoes,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6110skSRuKL._AC_UL320_.jpg,https://www.amazon.in/LOYON-Patent-Leather-Formal-Numeric_6/dp/B08KN47GSF/ref=sr_1_151?qid=1679147883&s=shoes&sr=1-151,3.7,1406,499
Nike Mens Flex Experience Rn 10 Running Shoe,clothing,Shoes,https://m.media-amazon.com/images/I/7175Z5h5AiL._AC_UL320_.jpg,https://www.amazon.in/Nike-Experience-Running-Shoe-9-CI9960-002/dp/B08Q8RTTZV/ref=sr_1_35?qid=1679147183&s=shoes&sr=1-35,3.7,553,1899
Kuber Industries Stainless Steel Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/614vU2jqJ0L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Stainless-Kettle-Capacity/dp/B07JN3C52F/ref=sr_1_6737?qid=1679135972&s=appliances&sr=1-6737,3.7,109,549
pTron Bassbuds Jade Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/51myi+sPEoL._AC_UL320_.jpg,https://www.amazon.in/Bassbuds-Jade-Headphone-Cancellation-Waterproof/dp/B09BNZLTDZ/ref=sr_1_47?qid=1679128667&s=electronics&sr=1-47,3.7,24285,898
